project,location,start_date_time,end_date_time
ABMI Ecosystem Health 2018,1062-SE,2018-01-24T16:57:00Z,2018-04-28T19:00:00Z
ABMI Ecosystem Health 2018,1062-SW,2018-01-23T17:48:00Z,2018-06-25T12:07:00Z
ABMI Ecosystem Health 2017,1086-NE,2017-03-09T14:55:00Z,2017-07-04T13:09:00Z
ABMI Ecosystem Health 2017,1086-NW,2017-03-09T13:29:00Z,2017-07-04T11:09:00Z
ABMI Ecosystem Health 2017,1086-SE,2017-03-09T17:08:00Z,2017-07-04T14:20:00Z
ABMI Ecosystem Health 2017,1086-SW,2017-03-09T12:24:00Z,2017-07-04T09:51:00Z
ABMI Ecosystem Health 2017,1088-NE,2017-03-20T11:42:00Z,2017-07-05T13:24:00Z
ABMI Ecosystem Health 2017,1088-NW,2017-03-20T12:37:00Z,2017-07-05T14:29:00Z
ABMI Ecosystem Health 2017,1088-SE,2017-03-20T10:01:00Z,2017-07-05T12:22:00Z
ABMI Ecosystem Health 2017,1088-SW,2017-03-20T13:40:00Z,2017-07-05T15:24:00Z
ABMI Ecosystem Health 2017,1119-NE,2017-03-21T09:46:00Z,2017-07-06T18:34:00Z
ABMI Ecosystem Health 2017,1119-NW,2017-03-21T10:36:00Z,2017-07-08T15:21:00Z
ABMI Ecosystem Health 2017,1119-SE,2017-03-21T11:48:00Z,2017-07-06T17:19:00Z
ABMI Ecosystem Health 2017,1119-SW,2017-03-19T17:23:00Z,2017-07-01T13:21:00Z
ABMI Ecosystem Health 2017,1120-NE,2017-03-20T17:06:00Z,2017-07-07T14:36:00Z
ABMI Ecosystem Health 2017,1120-NW,2017-03-20T18:05:00Z,2017-07-07T14:01:00Z
ABMI Ecosystem Health 2017,1120-SE,2017-03-21T14:10:00Z,2017-06-25T16:25:00Z
ABMI Ecosystem Health 2017,1120-SW,2017-03-21T15:08:00Z,2017-07-07T15:26:00Z
ABMI Ecosystem Health 2017,1121-NE,2017-04-01T13:46:00Z,2017-07-08T12:45:00Z
ABMI Ecosystem Health 2017,1121-NW,2017-04-01T14:37:00Z,2017-07-08T11:32:00Z
ABMI Ecosystem Health 2017,1121-SE,2017-04-01T11:49:00Z,2017-07-08T13:28:00Z
ABMI Ecosystem Health 2017,1121-SW,2017-04-01T12:25:00Z,2017-07-08T14:49:00Z
ABMI Ecosystem Health 2015,1150-NE,2015-04-28T10:03:00Z,2015-07-25T12:22:00Z
ABMI Ecosystem Health 2015,1150-NW,2015-04-28T09:21:00Z,2015-07-25T13:35:00Z
ABMI Ecosystem Health 2015,1150-SE,2015-04-28T10:54:00Z,2015-06-24T23:03:00Z
ABMI Ecosystem Health 2015,1150-SW,2015-04-28T08:41:00Z,2015-06-30T17:58:00Z
ABMI Ecosystem Health 2017,1151-NE,2017-03-08T16:20:00Z,2017-07-09T12:54:00Z
ABMI Ecosystem Health 2017,1151-NW,2017-03-08T12:45:00Z,2017-07-09T18:31:00Z
ABMI Ecosystem Health 2017,1151-SE,2017-03-09T10:03:00Z,2017-07-09T15:35:00Z
ABMI Ecosystem Health 2017,1151-SW,NA,NA
ABMI Ecosystem Health 2017,1152-NE,2017-03-19T13:04:00Z,2017-07-11T13:31:00Z
ABMI Ecosystem Health 2017,1152-NW,2017-03-19T14:14:00Z,2017-07-11T14:06:00Z
ABMI Ecosystem Health 2017,1152-SE,2017-03-19T10:48:00Z,2017-07-11T12:57:00Z
ABMI Ecosystem Health 2017,1152-SW,2017-03-19T11:40:00Z,2017-07-11T12:13:00Z
ABMI Ecosystem Health 2017,1153-NE,2017-03-18T14:21:00Z,2017-07-10T11:36:00Z
ABMI Ecosystem Health 2017,1153-NW,2017-03-18T13:00:00Z,2017-07-10T12:24:00Z
ABMI Ecosystem Health 2017,1153-SE,2017-03-19T09:10:00Z,2017-07-10T10:46:00Z
ABMI Ecosystem Health 2017,1153-SW,2017-03-18T15:39:00Z,2017-07-10T13:11:00Z
ABMI Ecosystem Health 2018,1166-NE,2017-10-21T12:09:00Z,2018-07-25T09:32:00Z
ABMI Ecosystem Health 2018,1166-NW,2017-10-21T12:02:00Z,2018-07-25T10:09:00Z
ABMI Ecosystem Health 2018,1166-SE,2017-10-21T11:08:00Z,2018-07-25T07:30:00Z
ABMI Ecosystem Health 2018,1166-SW,2017-10-21T11:17:00Z,2018-07-25T08:15:00Z
ABMI Ecosystem Health 2018,1167-NE,2017-10-11T15:41:00Z,2018-07-23T14:32:00Z
ABMI Ecosystem Health 2018,1167-NW,2017-10-11T16:52:00Z,2018-07-23T12:02:00Z
ABMI Ecosystem Health 2018,1167-SE,2017-10-11T14:27:00Z,2018-07-23T15:24:00Z
ABMI Ecosystem Health 2018,1167-SW,2017-10-11T17:53:00Z,2018-07-23T13:15:00Z
ABMI Ecosystem Health 2017,1178-NE,2017-01-20T09:56:00Z,2017-07-04T15:15:00Z
ABMI Ecosystem Health 2017,1178-NW,2017-01-19T16:45:00Z,2017-07-04T16:06:00Z
ABMI Ecosystem Health 2017,1178-SE,2017-01-20T11:40:00Z,2017-07-04T14:27:00Z
ABMI Ecosystem Health 2017,1178-SW,2017-01-19T15:43:00Z,2017-07-04T13:04:00Z
ABMI Ecosystem Health 2017,1179-NE,2017-01-20T14:44:00Z,2017-07-05T15:14:00Z
ABMI Ecosystem Health 2017,1179-NW,2017-01-20T13:47:00Z,2017-07-05T14:26:00Z
ABMI Ecosystem Health 2017,1179-SE,2017-01-20T17:18:00Z,2017-07-05T12:27:00Z
ABMI Ecosystem Health 2017,1179-SW,2017-01-20T16:17:00Z,2017-07-05T13:10:00Z
ABMI Ecosystem Health 2017,1180-NE,2017-01-22T12:05:00Z,2017-07-06T16:33:00Z
ABMI Ecosystem Health 2017,1180-NW,2017-01-22T11:07:00Z,2017-07-06T15:56:00Z
ABMI Ecosystem Health 2017,1180-SE,NA,NA
ABMI Ecosystem Health 2017,1180-SW,2017-01-22T10:07:00Z,2017-07-06T16:17:00Z
ABMI Ecosystem Health 2018,1181-NE,2018-02-03T16:37:00Z,2018-07-03T13:47:00Z
ABMI Ecosystem Health 2018,1181-NW,2018-02-04T11:59:00Z,2018-07-03T13:03:00Z
ABMI Ecosystem Health 2018,1181-SE,2018-02-03T18:25:00Z,2018-07-03T14:37:00Z
ABMI Ecosystem Health 2018,1181-SW,2018-02-04T10:35:00Z,2018-07-01T12:20:00Z
ABMI Ecosystem Health 2018,1182-NE,2018-02-01T11:00:00Z,2018-07-04T12:18:00Z
ABMI Ecosystem Health 2018,1182-NW,2018-02-01T10:01:00Z,2018-07-04T12:44:00Z
ABMI Ecosystem Health 2018,1182-SE,2018-01-31T17:55:00Z,2018-07-04T13:57:00Z
ABMI Ecosystem Health 2018,1182-SW,2018-01-31T16:53:00Z,2018-06-01T17:21:00Z
ABMI Ecosystem Health 2018,1183-NE,2018-02-02T13:46:00Z,2018-07-05T13:37:00Z
ABMI Ecosystem Health 2018,1183-NW,2018-02-02T16:28:00Z,2018-07-05T11:17:00Z
ABMI Ecosystem Health 2018,1183-SE,2018-02-02T12:23:00Z,2018-06-14T12:04:00Z
ABMI Ecosystem Health 2018,1183-SW,2018-02-02T15:43:00Z,2018-06-14T16:36:00Z
ABMI Ecosystem Health 2015,1190-NE,2015-02-19T19:26:00Z,2015-07-06T10:59:00Z
ABMI Ecosystem Health 2015,1190-NW,2015-02-19T18:55:00Z,2015-07-06T08:48:00Z
ABMI Ecosystem Health 2015,1190-SE,2015-02-19T17:46:00Z,2015-07-06T10:22:00Z
ABMI Ecosystem Health 2015,1190-SW,2015-02-19T18:18:00Z,2015-07-06T09:34:00Z
ABMI Ecosystem Health 2015,1191-NW,2015-02-17T12:43:00Z,2015-07-05T08:51:00Z
ABMI Ecosystem Health 2015,1191-SE,2015-02-17T14:31:00Z,2015-07-05T09:58:00Z
ABMI Ecosystem Health 2015,1191-SW,2015-02-17T13:52:00Z,2015-07-05T09:24:00Z
ABMI Ecosystem Health 2015,1192B-NE,2015-04-11T15:01:00Z,2015-07-07T11:05:00Z
ABMI Ecosystem Health 2015,1192B-NW,2015-04-11T14:11:00Z,2015-07-07T09:47:00Z
ABMI Ecosystem Health 2015,1192B-SE,2015-04-11T15:40:00Z,2015-07-07T10:31:00Z
ABMI Ecosystem Health 2015,1192B-SW,2015-04-11T13:34:00Z,2015-07-07T11:57:00Z
ABMI Ecosystem Health 2017,1193-NE,2017-01-18T12:35:00Z,2017-07-04T15:33:00Z
ABMI Ecosystem Health 2017,1193-NW,2017-01-18T13:30:00Z,2017-07-04T15:04:00Z
ABMI Ecosystem Health 2017,1193-SE,2017-01-18T11:33:00Z,2017-07-04T16:00:00Z
ABMI Ecosystem Health 2017,1193-SW,2017-01-18T10:28:00Z,2017-07-04T16:24:00Z
ABMI Ecosystem Health 2017,1194-NE,2017-01-18T17:00:00Z,2017-07-05T17:40:00Z
ABMI Ecosystem Health 2017,1194-NW,2017-01-19T11:51:00Z,2017-07-05T13:56:00Z
ABMI Ecosystem Health 2017,1194-SE,2017-01-18T15:07:00Z,2017-07-05T17:44:00Z
ABMI Ecosystem Health 2017,1194-SW,2017-01-19T10:41:00Z,2017-05-26T06:34:00Z
ABMI Ecosystem Health 2018,1198-NE,2017-11-04T11:40:00Z,2018-01-17T19:00:00Z
ABMI Ecosystem Health 2018,1198-NW,2017-11-04T11:02:00Z,2018-07-18T09:55:00Z
ABMI Ecosystem Health 2018,1198-SE,2017-11-04T10:24:00Z,2018-07-18T15:18:00Z
ABMI Ecosystem Health 2018,1198-SW,NA,NA
ABMI Ecosystem Health 2018,1199-NE,2017-10-18T11:11:00Z,2018-07-22T12:06:00Z
ABMI Ecosystem Health 2018,1199-NW,2017-10-18T10:56:00Z,2018-07-22T09:01:00Z
ABMI Ecosystem Health 2018,1199-SE,2017-10-18T12:07:00Z,2018-07-22T13:29:00Z
ABMI Ecosystem Health 2018,1199-SW,2017-10-18T11:55:00Z,2018-07-22T10:14:00Z
ABMI Ecosystem Health 2018,1200-NE,2018-03-09T11:29:00Z,2018-07-19T10:54:00Z
ABMI Ecosystem Health 2018,1200-NW,2018-03-09T16:51:00Z,2018-07-19T11:14:00Z
ABMI Ecosystem Health 2018,1200-SE,2018-03-09T13:48:00Z,2018-07-19T08:53:00Z
ABMI Ecosystem Health 2018,1200-SW,2018-03-10T11:28:00Z,2018-07-19T09:11:00Z
ABMI Ecosystem Health 2016,120-NE,NA,NA
ABMI Ecosystem Health 2016,120-NW,NA,NA
ABMI Ecosystem Health 2016,120-SE,NA,NA
ABMI Ecosystem Health 2016,120-SW,NA,NA
ABMI Ecosystem Health 2017,1210-NE,2017-01-18T15:47:00Z,2017-07-07T19:02:00Z
ABMI Ecosystem Health 2017,1210-NW,2017-01-18T14:06:00Z,2017-07-07T10:08:00Z
ABMI Ecosystem Health 2017,1210-SE,2017-01-18T11:58:00Z,2017-07-07T14:01:00Z
ABMI Ecosystem Health 2017,1210-SW,2017-01-18T11:05:00Z,2017-07-07T12:44:00Z
ABMI Ecosystem Health 2017,1211-NE,2017-01-19T13:53:00Z,2017-07-06T13:19:00Z
ABMI Ecosystem Health 2017,1211-NW,2017-01-19T12:19:00Z,2017-07-06T10:47:00Z
ABMI Ecosystem Health 2017,1211-SE,2017-01-19T10:59:00Z,2017-06-05T15:01:00Z
ABMI Ecosystem Health 2017,1211-SW,2017-01-19T10:13:00Z,2017-07-06T09:34:00Z
ABMI Ecosystem Health 2017,1212-NE,2017-01-22T17:55:00Z,2017-07-08T11:24:00Z
ABMI Ecosystem Health 2017,1212-NW,2017-01-22T16:59:00Z,2017-07-08T11:52:00Z
ABMI Ecosystem Health 2017,1212-SE,2017-01-22T15:29:00Z,2017-07-08T13:04:00Z
ABMI Ecosystem Health 2017,1212-SW,2017-01-22T14:18:00Z,2017-07-08T13:41:00Z
ABMI Ecosystem Health 2018,1213-NE,2018-02-04T16:10:00Z,2018-07-06T15:01:00Z
ABMI Ecosystem Health 2018,1213-NW,2018-02-04T17:06:00Z,2018-05-11T09:42:00Z
ABMI Ecosystem Health 2018,1213-SE,2018-02-04T15:05:00Z,2018-07-06T20:12:00Z
ABMI Ecosystem Health 2018,1213-SW,2018-02-04T14:07:00Z,2018-07-06T16:04:00Z
ABMI Ecosystem Health 2018,1214-NE,2018-02-05T13:56:00Z,2018-07-07T15:23:00Z
ABMI Ecosystem Health 2018,1214-NW,2018-02-05T10:05:00Z,2018-07-07T14:45:00Z
ABMI Ecosystem Health 2018,1214-SE,2018-02-05T13:07:00Z,2018-07-07T14:04:00Z
ABMI Ecosystem Health 2018,1214-SW,2018-02-05T10:59:00Z,2018-07-07T13:27:00Z
ABMI Ecosystem Health 2018,1215-NE,2018-02-02T18:21:00Z,2018-07-08T08:35:00Z
ABMI Ecosystem Health 2018,1215-NW,2018-02-03T13:32:00Z,2018-07-08T13:47:00Z
ABMI Ecosystem Health 2018,1215-SE,2018-02-03T11:00:00Z,2018-07-08T13:04:00Z
ABMI Ecosystem Health 2018,1215-SW,2018-02-03T11:48:00Z,2018-07-08T12:27:00Z
ABMI Ecosystem Health 2016,121-NE,2016-03-17T16:34:00Z,2016-04-10T02:25:00Z
ABMI Ecosystem Health 2016,121-NW,2016-03-17T18:35:00Z,2016-07-19T11:29:00Z
ABMI Ecosystem Health 2016,121-SE,2016-03-17T15:26:00Z,2016-07-19T17:35:00Z
ABMI Ecosystem Health 2016,121-SW,2016-03-17T16:57:00Z,2016-07-19T10:28:00Z
ABMI Ecosystem Health 2015,1222-NE,2015-02-22T13:46:00Z,2015-07-08T15:07:00Z
ABMI Ecosystem Health 2015,1222-NW,2015-02-22T14:41:00Z,2015-07-08T12:43:00Z
ABMI Ecosystem Health 2015,1222-SE,2015-02-18T16:55:00Z,2015-07-08T14:34:00Z
ABMI Ecosystem Health 2015,1222-SW,2015-02-18T17:45:00Z,2015-07-08T13:34:00Z
ABMI Ecosystem Health 2015,1223-NE,2015-02-18T14:35:00Z,2015-07-09T11:53:00Z
ABMI Ecosystem Health 2015,1223-NW,2015-02-18T13:37:00Z,2015-07-09T11:29:00Z
ABMI Ecosystem Health 2015,1223-SE,2015-02-18T11:58:00Z,2015-04-08T17:19:00Z
ABMI Ecosystem Health 2015,1223-SW,2015-02-18T10:36:00Z,2015-07-09T10:23:00Z
ABMI Ecosystem Health 2015,1224-NE,2015-02-20T10:03:00Z,2015-07-10T13:42:00Z
ABMI Ecosystem Health 2015,1224-NW,2015-02-20T12:44:00Z,2015-07-10T13:07:00Z
ABMI Ecosystem Health 2015,1224-SE,2015-02-20T10:52:00Z,2015-07-10T11:44:00Z
ABMI Ecosystem Health 2015,1224-SW,2015-02-20T11:58:00Z,2015-07-10T10:56:00Z
ABMI Ecosystem Health 2017,1225-NE,2017-01-19T15:33:00Z,2017-07-08T12:10:00Z
ABMI Ecosystem Health 2017,1225-NW,2017-01-19T13:40:00Z,2017-07-08T11:59:00Z
ABMI Ecosystem Health 2017,1225-SE,2017-01-19T17:17:00Z,2017-07-08T12:26:00Z
ABMI Ecosystem Health 2017,1225-SW,2017-01-19T18:13:00Z,2017-07-08T12:42:00Z
ABMI Ecosystem Health 2017,1226-NE,2017-01-20T16:45:00Z,2017-03-16T23:00:00Z
ABMI Ecosystem Health 2017,1226-NW,2017-01-22T13:48:00Z,2017-07-06T12:52:00Z
ABMI Ecosystem Health 2017,1226-SE,2017-01-22T10:33:00Z,2017-02-17T14:54:00Z
ABMI Ecosystem Health 2017,1226-SW,2017-01-22T11:59:00Z,2017-07-06T13:28:00Z
ABMI Ecosystem Health 2018,1228-NE,2017-11-04T14:12:00Z,2018-07-24T12:41:00Z
ABMI Ecosystem Health 2018,1228-NW,2017-11-04T15:49:00Z,2018-06-11T11:00:00Z
ABMI Ecosystem Health 2018,1228-SE,2017-11-04T13:47:00Z,2018-07-24T13:32:00Z
ABMI Ecosystem Health 2018,1228-SW,2017-11-04T15:35:00Z,2018-05-23T21:00:00Z
ABMI Ecosystem Health 2018,1229-NE,2017-10-22T11:14:00Z,2018-07-21T12:21:00Z
ABMI Ecosystem Health 2018,1229-NW,2017-10-22T11:53:00Z,2018-07-21T13:06:00Z
ABMI Ecosystem Health 2018,1229-SE,2017-10-22T11:05:00Z,2018-07-21T11:12:00Z
ABMI Ecosystem Health 2018,1229-SW,2017-10-22T12:41:00Z,2018-07-21T08:14:00Z
ABMI Ecosystem Health 2016,122-NE,2016-03-17T11:39:00Z,2016-07-18T12:28:00Z
ABMI Ecosystem Health 2016,122-NW,2016-03-17T12:54:00Z,2016-07-18T11:32:00Z
ABMI Ecosystem Health 2016,122-SE,2016-03-17T10:52:00Z,2016-07-18T09:31:00Z
ABMI Ecosystem Health 2016,122-SW,2016-03-18T00:44:00Z,2016-07-18T22:54:00Z
ABMI Ecosystem Health 2018,1230-NE,2017-10-19T10:10:00Z,2018-07-20T09:00:00Z
ABMI Ecosystem Health 2018,1230-NW,2017-10-19T11:52:00Z,2018-07-20T12:58:00Z
ABMI Ecosystem Health 2018,1230-SE,2017-10-19T11:39:00Z,2018-07-20T11:00:00Z
ABMI Ecosystem Health 2018,1230-SW,2017-10-19T10:42:00Z,2018-07-16T13:10:00Z
ABMI Ecosystem Health 2017,1240-NE,2017-01-23T12:55:00Z,2017-07-09T10:22:00Z
ABMI Ecosystem Health 2017,1240-NW,2017-01-23T12:13:00Z,2017-07-09T12:11:00Z
ABMI Ecosystem Health 2017,1240-SE,2017-01-23T10:18:00Z,2017-07-09T11:04:00Z
ABMI Ecosystem Health 2017,1240-SW,2017-01-23T11:17:00Z,2017-07-09T12:59:00Z
ABMI Ecosystem Health 2017,1241-NE,2017-01-21T11:35:00Z,2017-07-10T11:11:00Z
ABMI Ecosystem Health 2017,1241-NW,2017-01-21T12:34:00Z,2017-07-10T10:22:00Z
ABMI Ecosystem Health 2017,1241-SE,2017-01-21T10:48:00Z,2017-07-10T12:03:00Z
ABMI Ecosystem Health 2017,1241-SW,2017-01-21T10:07:00Z,2017-07-10T13:13:00Z
ABMI Ecosystem Health 2017,1242-NE,2017-01-21T18:20:00Z,2017-07-11T12:11:00Z
ABMI Ecosystem Health 2017,1242-NW,2017-01-21T17:04:00Z,2017-07-11T10:16:00Z
ABMI Ecosystem Health 2017,1242-SE,2017-01-21T14:34:00Z,2017-05-17T09:00:00Z
ABMI Ecosystem Health 2017,1242-SE-B,2017-05-17T09:45:00Z,2017-07-11T12:24:00Z
ABMI Ecosystem Health 2017,1242-SW,2017-01-21T15:38:00Z,2017-07-11T11:26:00Z
ABMI Ecosystem Health 2018,1243-NE,2018-02-14T18:28:00Z,2018-06-23T18:27:00Z
ABMI Ecosystem Health 2018,1243-NW,2018-02-09T18:07:00Z,2018-07-11T08:34:00Z
ABMI Ecosystem Health 2018,1243-SE,2018-02-09T15:26:00Z,2018-07-11T09:25:00Z
ABMI Ecosystem Health 2018,1243-SW,2018-02-09T16:44:00Z,2018-04-29T01:00:00Z
ABMI Ecosystem Health 2018,1244-NE,2018-02-08T18:46:00Z,2018-07-09T13:25:00Z
ABMI Ecosystem Health 2018,1244-NW,2018-02-09T11:23:00Z,2018-07-09T11:44:00Z
ABMI Ecosystem Health 2018,1244-SE,2018-02-08T17:55:00Z,2018-07-09T13:48:00Z
ABMI Ecosystem Health 2018,1244-SW,2018-02-09T10:30:00Z,2018-07-09T12:13:00Z
ABMI Ecosystem Health 2018,1245-NE,2018-02-01T16:19:00Z,2018-05-29T21:04:00Z
ABMI Ecosystem Health 2018,1245-NW,2018-02-01T17:18:00Z,2018-07-10T13:55:00Z
ABMI Ecosystem Health 2018,1245-SE,2018-02-01T14:52:00Z,2018-07-10T12:54:00Z
ABMI Ecosystem Health 2018,1245-SW,2018-02-01T13:28:00Z,2018-07-10T12:20:00Z
ABMI Ecosystem Health 2015,1252-NE,2015-02-22T17:33:00Z,2015-07-12T11:59:00Z
ABMI Ecosystem Health 2015,1252-NW,2015-02-21T19:13:00Z,2015-07-12T12:35:00Z
ABMI Ecosystem Health 2015,1252-SE,2015-02-22T16:56:00Z,2015-07-12T11:28:00Z
ABMI Ecosystem Health 2015,1252-SW,2015-02-22T18:16:00Z,2015-07-12T12:47:00Z
ABMI Ecosystem Health 2015,1253-NE,2015-02-20T15:16:00Z,2015-07-11T10:01:00Z
ABMI Ecosystem Health 2015,1253-NW,2015-02-20T17:16:00Z,2015-07-11T11:06:00Z
ABMI Ecosystem Health 2015,1253-SE,2015-02-20T16:12:00Z,2015-07-11T09:08:00Z
ABMI Ecosystem Health 2015,1253-SW,2015-02-20T17:58:00Z,2015-07-11T08:12:00Z
ABMI Ecosystem Health 2015,1254-NE,2015-02-21T16:01:00Z,2015-07-13T12:15:00Z
ABMI Ecosystem Health 2015,1254-NW,2015-02-21T15:09:00Z,2015-07-13T11:22:00Z
ABMI Ecosystem Health 2015,1254-SW,2015-02-21T14:17:00Z,2015-07-13T13:05:00Z
ABMI Ecosystem Health 2017,1255-NE,2017-01-20T10:52:00Z,2017-07-07T12:32:00Z
ABMI Ecosystem Health 2017,1255-NW,2017-01-20T14:34:00Z,2017-07-07T11:00:00Z
ABMI Ecosystem Health 2017,1255-SE,2017-01-20T12:34:00Z,2017-07-07T14:10:00Z
ABMI Ecosystem Health 2017,1255-SW,2017-01-20T13:38:00Z,2017-07-07T10:20:00Z
ABMI Ecosystem Health 2017,1256-NE,2017-01-21T13:28:00Z,2017-07-09T12:52:00Z
ABMI Ecosystem Health 2017,1256-NW,2017-01-21T15:21:00Z,2017-07-09T12:02:00Z
ABMI Ecosystem Health 2017,1256-SE,2017-01-21T16:59:00Z,2017-07-09T13:19:00Z
ABMI Ecosystem Health 2017,1256-SW,2017-01-21T11:51:00Z,2017-07-09T13:33:00Z
ABMI Ecosystem Health 2017,1263-NE,2016-11-29T10:10:00Z,2017-07-22T08:14:00Z
ABMI Ecosystem Health 2017,1263-NW,2016-11-29T10:10:00Z,2017-07-22T07:45:00Z
ABMI Ecosystem Health 2017,1263-SE,2016-11-29T10:47:00Z,2017-07-22T09:34:00Z
ABMI Ecosystem Health 2017,1263-SW,2016-11-29T11:01:00Z,2017-07-22T09:08:00Z
