project,location,site,station,BlackBear,CanadaLynx,Coyote,Elk(wapiti),Fisher,GrayWolf,Marten,Moose,Muledeer,Redfox,RedSquirrel,SnowshoeHare,White-tailedDeer,lure
ABMI Ecosystem Health 2017,1026-NW,1026,NW,0,0,0.1630006021096049,0,0,0,0,0,5.772549000799865,0,0,0,0.40547254852857617,No
ABMI Ecosystem Health 2017,1026-SE,1026,SE,0,0,0.04193745888261208,0,0,0,0,0,12.677578538388493,0,0,0,10.83710278728395,No
ABMI Ecosystem Health 2017,1026-SW,1026,SW,0,0,0.044406259424246135,0,0,0,0,0,0,0,0,0,0,Yes
ABMI Ecosystem Health 2017,1027-NE,1027,NE,0,0,1.745776750042571,0,0,0,0,0,0,0,0,0,0.3718741322389178,Yes
ABMI Ecosystem Health 2017,1027-SE,1027,SE,0,0,0.9813297655578224,0,0,0,0,0,0,0,0,0,0.10343410250664255,No
ABMI Ecosystem Health 2017,1027-SW,1027,SW,0,0,0.024928472021595163,0,0,0,0,0,0,0,0,0.09762997430163596,0,Yes
ABMI Ecosystem Health 2018,1028-NE,1028,NE,0,0,0.04636980216594434,0,0,0,0,0.49771586063643486,0.23467637682004946,0,0,0,3.757589186400641,Yes
ABMI Ecosystem Health 2018,1028-NW,1028,NW,0,0,0.07574586083184591,0,0,0,0,0,1.7320900512159723,0,0,0,4.248634087589437,No
ABMI Ecosystem Health 2018,1028-SE,1028,SE,0,0,0.03220998635902301,0,0,0,0,0,0,0.05690409049650717,0,0,1.466600467778762,No
ABMI Ecosystem Health 2018,1028-SW,1028,SW,0,0,1.2559486502764576,0,0,0,0,0,3.552173118098929,0.2808803323083824,0,0,0,Yes
ABMI Ecosystem Health 2015,1056-NE,1056,NE,0.2750199994906094,0,0.16588801703852457,0,0,0,0,4.068366405779885,50.894376526955035,0,0,0,3.6200109962997837,Yes
ABMI Ecosystem Health 2015,1056-NW,1056,NW,0,0,0.7915414345685244,0,0,0,0,0.1610958628502134,1.195403537149519,0.057062372030785305,0.13572672127195845,0,0.9612699890443581,No
ABMI Ecosystem Health 2015,1056-SE,1056,SE,0,0,0.1189275876558323,0,0,0,0,0.3981024138019038,9.403193964816788,0,0,0,3.903725242728333,No
ABMI Ecosystem Health 2015,1056-SW,1056,SW,0,0,1.3668763033435163,0,0,0,0,5.1003912520666255,5.6086268716026195,0.061220645600752584,0,0,10.51250681574863,Yes
ABMI Ecosystem Health 2015,1057-NE,1057,NE,0.07940914961008072,0,0,0,0.13286016216745675,0,0,10.847593020609803,56.764195563350846,0,0,0,8.150882195286627,Yes
ABMI Ecosystem Health 2015,1057-NW,1057,NW,0,0,0.06637676813628265,0,0,0,0,4.929641886561109,5.226747151680073,0,0,0,3.0450351984463655,No
ABMI Ecosystem Health 2015,1057-SE,1057,SE,0,0,0.027327381132520954,0.11119254700503195,0,0,0,1.4704515315401805,6.1948187099669845,0,0,0,5.567964397085083,No
ABMI Ecosystem Health 2015,1057-SW,1057,SW,0.28040254232817446,0,0,0,3.1482987052060767,0,0,2.9127890960429936,25.85005332820865,0,0,0.1884516574207179,14.520063300680006,Yes
ABMI Ecosystem Health 2015,1058-NE,1058,NE,0,0,0.42616468737875524,0,0,0,0,0,0.11149791950429934,0.031535808575709534,0,0,0.2706049965747692,No
ABMI Ecosystem Health 2015,1058-NW,1058,NW,0,0,0.05706822282414572,0,0,0,0,4.8940564649198555,0.7320585585607747,0.18835197099963286,0,0,1.2205243213708212,Yes
ABMI Ecosystem Health 2015,1058-SE,1058,SE,0,0,0.20461225311733944,0,0,0,0,0,0,0.1538955237177706,0,0,1.0989989122457493,Yes
ABMI Ecosystem Health 2015,1058-SW,1058,SW,0,0,0.22370842589659012,0,0,0,0,0.13858447893809683,0.4195135170099011,0.028674857011790317,0,0,1.87077070848677,No
ABMI Ecosystem Health 2017,1059-NE,1059,NE,0,0,0.8282245771196297,0,0,0,0,0,0,0,0,0,13.68695912796915,Yes
ABMI Ecosystem Health 2017,1059-NW,1059,NW,0,0,0,0,0,0,0,0,0.18349277066558692,0,0,0,11.203375233974047,No
ABMI Ecosystem Health 2017,1059-SE,1059,SE,0,0,0.039294990914888826,0,0,0,0,0,0,0.013236686232336647,0,0,1.8631919909827173,No
ABMI Ecosystem Health 2017,1060-NE,1060,NE,0,0,0.15792953701034745,0,0,0,0,0.4353183044290805,0.06555448186801384,0,0,0.04968668334993972,12.49945180852411,Yes
ABMI Ecosystem Health 2017,1060-NW,1060,NW,0,0,0.07501912524215369,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2017,1060-SE,1060,SE,0,0,0.02439597429150333,0,0,0,0,0,0,0,0,0,0.5317730176871219,No
ABMI Ecosystem Health 2017,1060-SW,1060,SW,0,0,0.18868705495293528,0,0,0,0,0,0,0,0,0,0,Yes
ABMI Ecosystem Health 2017,1061-NE,1061,NE,0,0,0.15446879382160433,0,0,0,0,0,0.6723383028927303,0,0,0,0.5962308460894123,Yes
ABMI Ecosystem Health 2017,1061-SE,1061,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2017,1061-SW,1061,SW,0,0,0.34702490591237384,0,0,0,0,0,0.32058317566033395,0,0,0,0.8700143786434715,Yes
ABMI Ecosystem Health 2018,1062-NE,1062,NE,0,0,1.5331506622994966,0,0,0,0,0,0.1703186432150908,0.028079823244774427,0,0,3.2112881969412297,Yes
ABMI Ecosystem Health 2018,1062-NW,1062,NW,0,0,0.03893175017792624,0,0,0,0,0.7929772256384031,0,0,0,0,0.5738899591823123,No
ABMI Ecosystem Health 2018,1062-SE,1062,SE,0,0,0.015639140596853365,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2018,1062-SW,1062,SW,0,0,0.22564578992669104,0,0,0,0,0,0.03569116338323348,0.021307913980382835,0,0,3.5211847476625473,Yes
ABMI Ecosystem Health 2017,1086-NE,1086,NE,0,0,0,0,0,0,0,2.759373041295931,0,0,0,0.8615144157455764,0.7471848838165019,Yes
ABMI Ecosystem Health 2017,1086-NW,1086,NW,0,0,0,0,0,0,0,0.43335450471939413,0,0,0,0.33809666048407366,0.7451944483902805,No
ABMI Ecosystem Health 2017,1086-SE,1086,SE,0,0,0.17689359251807849,0,0,0,0,4.4591028209299175,0,0,0,0,3.4314544213605482,No
ABMI Ecosystem Health 2017,1086-SW,1086,SW,0,0,0,0,0,0,0,1.1710377947465356,0,0,0,0,0.41065244574481974,Yes
ABMI Ecosystem Health 2017,1088-NE,1088,NE,0,0,0.00734254756596675,0,0,0,0,0,0.4489809636012095,0,0,0,4.151016088550896,Yes
ABMI Ecosystem Health 2017,1088-NW,1088,NW,0,0,0,0,0,0,0,1.1140420485088842,0,0,0,0,4.207977679602055,No
ABMI Ecosystem Health 2017,1088-SE,1088,SE,0,0,0.007347475554835806,0,0,0,0,0,0,0,0,0,2.9925185833758743,No
ABMI Ecosystem Health 2017,1088-SW,1088,SW,0,0,0,0,0,0,0,0.28655325343275456,0,0,0,0,0,Yes
ABMI Ecosystem Health 2017,1119-NE,1119,NE,0,0,0.1176280193589556,0.13401330414359003,0,0.046579436304981535,0,0.9120804962102306,0.2045716969565728,0,0,0,6.64869798789497,Yes
ABMI Ecosystem Health 2017,1119-NW,1119,NW,0,0,0.1447863383719167,0.4546670241087956,0,0.04682598258996656,0,8.750873697671947,0.05882666560749812,0.014730094868800241,0,0.28830123621153386,7.549776076519926,No
ABMI Ecosystem Health 2017,1119-SE,1119,SE,0,0,0.2882954401513999,0,0,0,0,0.9548387635387794,0.039360602950075735,0,0,0,10.234827653128326,No
ABMI Ecosystem Health 2017,1119-SW,1119,SW,0,0,0.05684104726364064,0.2043706129416445,0,0,0.0740448615404243,16.074115354783526,0.21780671308840324,0,0,0.33647922988301837,2.149294034731956,Yes
ABMI Ecosystem Health 2017,1120-NE,1120,NE,0,0,0,0,0,0,0,0,26.01615718223319,0.00678207087772287,0,0,0.6895319313717139,Yes
ABMI Ecosystem Health 2017,1120-NW,1120,NW,0,0,0.007163461039967561,0,0,0,0,0,2.068239912502121,0,0,0,0.10191469121078428,No
ABMI Ecosystem Health 2017,1120-SE,1120,SE,0,0,0.0255501590639348,0,0,0,0,0,5.2137102678017015,0,0,0,2.2829089874101394,No
ABMI Ecosystem Health 2017,1120-SW,1120,SW,0,0,0,0,0,0,0,0,0.6019629058978051,0,0,0,0,Yes
ABMI Ecosystem Health 2017,1121-NE,1121,NE,0,0,0.14682441518944894,0,0,0,0,0,0,0,0,0,0.25548538394288195,Yes
ABMI Ecosystem Health 2017,1121-NW,1121,NW,0,0,0.18995368850406674,0,0,0,0,0,0,0,0,0,0.058654593620104285,No
ABMI Ecosystem Health 2017,1121-SE,1121,SE,0,0,0.00707715428044988,0,0,0,0,0,0.008084717326528811,0,0,0,2.726888991380726,No
ABMI Ecosystem Health 2017,1121-SW,1121,SW,0,0,0,0,0,0,0,0,0,0,0,0,2.673335874065148,Yes
ABMI Ecosystem Health 2019,1128-NE,1128,NE,0.17135107084478493,0,0.06499170573203332,0,0,0,0,3.818710420931013,0.9593841115843951,0.1148690270046759,0,1.5255763884856899,2.316243372455932,Yes
ABMI Ecosystem Health 2019,1128-NW,1128,NW,0,0,0.06347811983707312,0,0,0,0,1.2596785252499845,0,0,0,0,16.47984753423944,No
ABMI Ecosystem Health 2019,1128-SE,1128,SE,0,0,0.06305053348335435,0,0,0,0,0,0.5739987932706021,0.013674516731132248,0,0,0.12350780931934492,No
ABMI Ecosystem Health 2019,1128-SW,1128,SW,0,0,0.6016807902710092,0,0,0,0,0,0,0,0,0,2.3756518477129362,Yes
ABMI Ecosystem Health 2017,1152-NE,1152,NE,0,0,0.10762331465533485,0,0,0,0,0,1.0808544805707567,0,0,0,1.010214810542859,No
ABMI Ecosystem Health 2017,1152-NW,1152,NW,0,0,0,0,0,0,0,0,0.4680459864753997,0,0,0,0.21328656946735747,No
ABMI Ecosystem Health 2017,1152-SE,1152,SE,0,0,0.27317829865380877,0,0,0,0,0,0,0,0,0,0.02419542839862384,Yes
ABMI Ecosystem Health 2017,1152-SW,1152,SW,0,0,0.09092172721814674,0,0,0,0,0,0.09023497222674927,0,0,0,1.613430856359034,Yes
ABMI Ecosystem Health 2017,1153-NE,1153,NE,0,0,0.6158484401389456,0,0,0,0,0,0.007894488683551663,0,0,0,0.07617310857875138,Yes
ABMI Ecosystem Health 2017,1153-NW,1153,NW,0,0,0.03816318574525974,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2017,1153-SE,1153,SE,0,0,0.0516726790854021,0,0,0,0,0,0,0,0,0,2.1946551866293857,No
ABMI Ecosystem Health 2017,1153-SW,1153,SW,0,0,0.07468580115347764,0,0,0,0,0,0,0,0,0,0,Yes
ABMI Ecosystem Health 2019,1160-NE,1160,NE,0,0,1.8296407483973107,0,0,0,0,0,0,0,0,0,1.0543405380382935,Yes
ABMI Ecosystem Health 2019,1160-NW,1160,NW,0,0,0.2373256981614293,0,0,0,0,0,0,0,0,0,0.9262237984399746,No
ABMI Ecosystem Health 2019,1160-SE,1160,SE,0,0,0.04966427826257865,0.02671668911575843,0,0,0,0.780303375438341,0.45235170212065523,0,0,1.9694433775476996,7.643232234958866,No
ABMI Ecosystem Health 2019,1160-SW,1160,SW,0,0,0.014099611046636915,0,0,0,0,0,0,0,0,0,0.9131666192315003,Yes
ABMI Ecosystem Health 2018,1166-NE,1166,NE,0,0,0,0,0,0,0,0,0.6553596393267758,0,0,0.016069595959500117,0.3872159485352586,Yes
ABMI Ecosystem Health 2018,1166-NW,1166,NW,0,0,0,0,0,0,0,0,0.20048627562531215,0,0,0,0,No
ABMI Ecosystem Health 2018,1166-SE,1166,SE,0,0,0,0,0,0,0,0,0.11791075398259397,0,0,0,0,No
ABMI Ecosystem Health 2018,1166-SW,1166,SW,0,0,0,0,0,0,0.15707248922425257,0.20503365252733385,0.3225321497711785,0,0.052341041988886984,0.07601247687908977,0.31238352022908356,Yes
ABMI Ecosystem Health 2018,1167-NE,1167,NE,0.5617907510258568,0.0664473937107905,0,0,0,0,0,0,0.14573320002870233,0,0.03277272746213921,4.131342240479611,0.39515275457801735,Yes
ABMI Ecosystem Health 2018,1167-NW,1167,NW,0,0.0825041218814217,0,0,0,0,0,0,0.20335884675367058,0,0,2.2648726052474566,0,No
ABMI Ecosystem Health 2018,1167-SE,1167,SE,0.13724811506127033,0.12132635936983929,0,0,0,0,0,2.523606328612083,0.656923030705039,0,0,5.267225102178277,0.15161156984493776,No
ABMI Ecosystem Health 2018,1167-SW,1167,SW,0.44192701470753304,0.065876766364914,0,0,0,0,0,0,0.78375668008983,0,0,1.0554126288698162,0,Yes
ABMI Ecosystem Health 2019,1172-NE,1172,NE,0,0,0,0,0,0,0.1284771901590067,0,0,0,0.038291931397153,0.3123626857658905,0.09600168536010431,Yes
ABMI Ecosystem Health 2019,1172-NW,1172,NW,0,0,0.044662691567668784,0,0,0,0.04404616434314586,0,0,0,0,0.2994406877375959,0.050614169085226875,No
ABMI Ecosystem Health 2019,1172-SE,1172,SE,0,0,0,0,0,0,0.07049337376179941,0,0,0,0,0,0,No
ABMI Ecosystem Health 2019,1172-SW,1172,SW,0,0,0,0,0,0,0,0,0,0,0,0.3271519639926681,0.05968070418515456,Yes
ABMI Ecosystem Health 2019,1173-NE,1173,NE,0,0.04422827363098798,0.3429196415758007,0,0,0,0,0.6671361161398721,0,0,0,1.503730342436406,0,Yes
ABMI Ecosystem Health 2019,1173-NW,1173,NW,0,0,0,0,0,0,0,1.634577542476578,0,0,0,0.04175994100147524,0.04202398006577756,No
ABMI Ecosystem Health 2019,1173-SE,1173,SE,0,0,0,0,0,0,0,0,0,0,0,0.6396896313328957,0,No
ABMI Ecosystem Health 2019,1173-SW,1173,SW,0,0.16061873596257423,0.0516037200555564,0,0.2586144879243342,0,0,0.005507322306248812,0,0.033222376815031415,0,0.03476244251686168,0.6870028249545339,Yes
ABMI Ecosystem Health 2019,1174-NE,1174,NE,1.5749006561007932,0.12721000224816859,0.13130849996066551,0,0,2.964589219133721,0,0.13008740979527414,0,0.10775835552063527,0,0.052588174194041874,4.731076779523984,Yes
ABMI Ecosystem Health 2019,1174-NW,1174,NW,0,0,0.018118140912942147,0,0,0.2097588239706638,0,0.302616535661762,0,0.007586044444321485,0,0,1.8345041304473115,No
ABMI Ecosystem Health 2019,1174-SE,1174,SE,0,0,0,0,0,0.12733669087594912,0,0.39639134705488827,0,0,0,0,12.901405226767338,No
ABMI Ecosystem Health 2019,1174-SW,1174,SW,0.16548846321847724,0,0.12918017567496767,0,0,0,0,0,0,0.003460834481335939,0,0,1.2719441463629135,Yes
ABMI Ecosystem Health 2017,1178-NE,1178,NE,0,0,1.300216551967843,0,0,0,0,0,1.0417239118852297,0,0,0,8.63717752750122,Yes
ABMI Ecosystem Health 2017,1178-NW,1178,NW,0,0,0.022247034838609434,0,0,0,0,0,0,0.007039617873079434,0,0,0.3323019673555086,No
ABMI Ecosystem Health 2017,1178-SE,1178,SE,0,0,0.1365627025395331,0,0,0,0,0,0,0.014666491029067471,0,0,0,No
ABMI Ecosystem Health 2017,1178-SW,1178,SW,0,0,0.955692059985971,0,0,0,0,0,1.2471822839079205,0,0,0.031618798495416184,0.3575275065305394,Yes
ABMI Ecosystem Health 2017,1179-NE,1179,NE,0,0,0.13618484241001266,0,0,0,0,0,3.028051533442353,0.022888669575647332,0,0,0.4171299677232604,No
ABMI Ecosystem Health 2017,1179-NW,1179,NW,0,0,2.3623449139562394,0,0,0,0,0,4.150553927702462,0,0,0,4.432378008094453,No
ABMI Ecosystem Health 2017,1179-SE,1179,SE,0,0,1.7778854789584857,0,0,0,0,0,2.7425398051378114,0.0431123480545435,0,0,1.5707063246057076,Yes
ABMI Ecosystem Health 2017,1179-SW,1179,SW,0,0,1.500782498276584,0,0,0,0,0,0,0,0,0,0.10138258280618619,Yes
ABMI Ecosystem Health 2018,1181-NE,1181,NE,0,0,0.06572807217841936,0,0,0,0,0,0,0,0,0,2.557293467965694,Yes
ABMI Ecosystem Health 2018,1181-NW,1181,NW,0,0,0.0915272809642236,0,0,0,0,0,0,0.0077868775830058625,0,0,0.07394867491395529,No
ABMI Ecosystem Health 2018,1181-SE,1181,SE,0,0,0.02257303517651845,0,0,0,0,0,0,0,0,0,8.407861556996071,No
ABMI Ecosystem Health 2018,1181-SW,1181,SW,0,0,0.17275837982991815,0,0,0,0,0,0,0,0,0,3.949200428386914,Yes
ABMI Ecosystem Health 2018,1182-NE,1182,NE,0,0,0.8108140057823402,0,0,0,0,0,0,0.007475402479685628,0,0,0,Yes
ABMI Ecosystem Health 2018,1182-NW,1182,NW,0,0,0.2545053676372743,0,0,0,0,0,0,0,0,0,0.020458473893466028,No
ABMI Ecosystem Health 2018,1182-SE,1182,SE,0,0,0.18349217447018892,0,0,0,0,0,0,0,0,0,1.2914544036585052,No
ABMI Ecosystem Health 2018,1182-SW,1182,SW,0,0,1.9920556000609622,0,0,0,0,0,0,0,0,0,0,Yes
ABMI Ecosystem Health 2018,1183-NE,1183,NE,0,0,4.167193900491037,0,0,0,0,0,2.245470753868092,0,0,0,1.8739453080201696,Yes
ABMI Ecosystem Health 2018,1183-NW,1183,NW,0,0,0.6660852814419261,0,0,0,0,0,0.10842725924172418,0,0,0,0.19708077903938198,No
ABMI Ecosystem Health 2018,1183-SE,1183,SE,0,0,0.20928612821004577,0,0,0,0,0.3602795149185915,0,0,0.041460806658866256,0.16682636655158212,20.509834372383793,No
ABMI Ecosystem Health 2018,1183-SW,1183,SW,0,0,4.8201915559833894,0,0,0,0,0,0,0,0,0,2.0112908584533686,Yes
ABMI Ecosystem Health 2015,1190-NE,1190,NE,0.26108212964984917,0,0.48246212353142837,9.004306049417098,0,0,0,11.588786371741037,7.6868619173373,0,0,0.6829291646698631,17.8732689385782,Yes
ABMI Ecosystem Health 2015,1190-NW,1190,NW,0,0,0.4521419484204756,1.9648279161168745,0,0,0,0.011326433594673445,8.636431534838609,0,0,0,9.714669775814464,No
ABMI Ecosystem Health 2015,1190-SE,1190,SE,0,0,0.17339129200133724,28.69403996579457,0,0,0,4.041323836995898,1.5935100553327648,0,0,0,10.245794364129818,No
ABMI Ecosystem Health 2015,1190-SW,1190,SW,0,0,0.19826503870801665,4.31522134639363,0,0,0,0.7442373267703118,1.0011246486758447,0,0,0,0.8981690564407543,Yes
ABMI Ecosystem Health 2017,1193-NE,1193,NE,0,0,0.30223189295561714,0,0,0,0,0,0,0,0,0,5.0839425055250995,Yes
ABMI Ecosystem Health 2017,1193-NW,1193,NW,0,0,0.17696646333580662,0,0,0,0,0.04225319551612918,0,0,0,0,5.873984335682804,No
ABMI Ecosystem Health 2017,1193-SE,1193,SE,0,0,0.007432964394761138,0,0,0,0,0,0,0,0,0,3.83497370854726,No
ABMI Ecosystem Health 2017,1193-SW,1193,SW,0,0,0.0597667778641455,0,0,0,0,0,0,0.014332046763245329,0,0,1.77577816463385,Yes
ABMI Ecosystem Health 2017,1194-NE,1194,NE,0,0,0.2436775244054033,0,0,0,0,0,0,0,0,0,0.04594959043774716,Yes
ABMI Ecosystem Health 2017,1194-NW,1194,NW,0,0,0.0146850951319335,0,0,0,0,0,0.2675606790982921,0,0,0,0.11927277540317228,No
ABMI Ecosystem Health 2017,1194-SE,1194,SE,0,0,0.006653749033244386,0,0,0,0,0,0.35706570014386096,0,0,0,1.5154931457242284,No
ABMI Ecosystem Health 2017,1194-SW,1194,SW,0,0,0.2207038251886562,0,0,0,0,0,0.5085611915495425,0,0,0,1.1872963284722278,Yes
ABMI Ecosystem Health 2018,1199-NE,1199,NE,3.8896048510611942,0,0,0,0,0,0.0365874825046983,0,0,0,0.21915996901160525,0,0,Yes
ABMI Ecosystem Health 2018,1199-NW,1199,NW,0.575032400135023,0,0,0,0,0,0,0,1.7186872728102476,0,0,0,0,No
ABMI Ecosystem Health 2018,1199-SE,1199,SE,0.1496374927317107,0,0,0,0,0,0,0,1.0431888222276426,0,0,0,0.024091345723051695,No
ABMI Ecosystem Health 2018,1199-SW,1199,SW,0,0,0,0,0,0,0.012195827501566099,0,0.45402890012731095,0,0,0.3956139128455517,0,Yes
ABMI Ecosystem Health 2018,1200-NE,1200,NE,0,0,0,0,0,0,0,0,0.24138884664482088,0,0,0,0,Yes
ABMI Ecosystem Health 2018,1200-NW,1200,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2018,1200-SE,1200,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2018,1200-SW,1200,SW,0,0,0,0,0,0,0,0,0,0,0.035910541793620625,0,0,Yes
ABMI Ecosystem Health 2019,1204-NE,1204,NE,0,0,0.12053073554059367,0,0,0,0,0,0,0.003460834481335939,0,0,0.35630772393538646,Yes
ABMI Ecosystem Health 2019,1204-NW,1204,NW,0.010855477671072306,0,0,0,0,0.13636722354548836,0,6.5210045357153295,0,0,0,0.07621667954794294,0.026280966996881393,No
ABMI Ecosystem Health 2019,1204-SE,1204,SE,0.028615588269684227,0.038468876936129943,0,0,0,0,0,0.049644050003114275,0,0.0034823303476796403,0,1.1349274089161896,0.10970721869553517,No
ABMI Ecosystem Health 2019,1204-SW,1204,SW,0.010855477671072306,0,0.09922775920515023,0,0,0.3946092681493203,0,1.1834588488489286,0,0.03530463558694983,0,0,0.5826035852503092,Yes
ABMI Ecosystem Health 2019,1205-NE,1205,NE,1.361852113717921,0,0.22102100168409322,0,0,0,0,1.216685559383011,0.022645360660735428,0,0,0.33558816208824405,0.7036650494445007,Yes
ABMI Ecosystem Health 2019,1205-NW,1205,NW,0,0,0,0,0,0,0,0.7350036067468523,0,0,0,0,0.12939328469802602,No
ABMI Ecosystem Health 2019,1205-SE,1205,SE,0,0.006776235908080419,0,0,0,0,0,0,0,0,0.13130457901883089,4.828346012320875,0,No
ABMI Ecosystem Health 2019,1205-SW,1205,SW,0,0.006764240169338765,0,0,0,0.33172102160329797,0,0.20389615213323548,0,0,0,0.16725765494007483,0.056562071196209034,Yes
ABMI Ecosystem Health 2019,1206-NE,1206,NE,0,0.019728276491877514,0,0,0,0,0,0.5909340182687036,0.025373805779276132,0.1278160468713188,0,0.6659047380398573,0.47510871338682553,Yes
ABMI Ecosystem Health 2019,1206-NW,1206,NW,0,0,0,0,0,0,0,0.15856188276824024,0,0,0,0.1251489362847841,0.9047369624211905,No
ABMI Ecosystem Health 2019,1206-SE,1206,SE,0,0,0,0,0,0,0,0,0,0,0,0,0.7149392423358152,No
ABMI Ecosystem Health 2019,1206-SW,1206,SW,0.11443160897418224,0.06665816931495962,0.0884105908759783,0,0,0,0,0,0,0,0,0.8068915666804984,2.052375105528636,Yes
ABMI Ecosystem Health 2016,121-NW,121,NW,0,0,0,0,0,0,0,0,0,0,11.757280190506876,0,0,No
ABMI Ecosystem Health 2016,121-SE,121,SE,0,0,0,0,0,0,0,0,0,0,0,0.09522585576637022,0,No
ABMI Ecosystem Health 2016,121-SW,121,SW,0,0,0,0,0,0,0.4330229812977228,0,0,0.06034342098309254,0,0.7753168161366261,0,Yes
ABMI Ecosystem Health 2017,1210-NE,1210,NE,0,0,0,0,0,0,0,0,0,0.06666158726266551,0,0,0.355965109206441,Yes
ABMI Ecosystem Health 2017,1210-NW,1210,NW,0,0,0,0,0,0,0,0,0,0,0,0,0,No
ABMI Ecosystem Health 2017,1210-SE,1210,SE,0,0,0.20269568913753974,0,0,0,0,1.6780761549768564,0,0.047040651804153004,0,3.0077427858299046,6.812530359462408,No
ABMI Ecosystem Health 2017,1210-SW,1210,SW,0,0,0.5189585082515249,0,0,0,0,0.04547426667002664,0,0,0,0,5.065734835995138,Yes
ABMI Ecosystem Health 2017,1211-NE,1211,NE,0,0,0.8173930824782294,0,0,0,0,0.09432648106800173,0,0,0,0,1.0117424388756808,Yes
ABMI Ecosystem Health 2017,1211-NW,1211,NW,0,0,0,0,0,0,0,0,0,0,0,0,0.44067331272672117,No
ABMI Ecosystem Health 2017,1211-SE,1211,SE,0,0,0,0,0,0,0,0.1555752432413532,0,0,0,0,0.05785078581249943,No
ABMI Ecosystem Health 2017,1211-SW,1211,SW,0,0,0.6486093978833086,0,0,0,0,1.028815728306734,0,0,0,0,0.37712930045674564,Yes
ABMI Ecosystem Health 2017,1212-NE,1212,NE,0,0,0,0,0,0,0,3.877770174921591,0,0,0,0.2672716617861893,0.008956509405302732,Yes
ABMI Ecosystem Health 2017,1212-NW,1212,NW,0,0,0.015558442636492354,0,0,0,0,3.7802944549307886,0,0,0,0,13.314798942945735,No
ABMI Ecosystem Health 2017,1212-SE,1212,SE,0,0,0,0,0,0,0,6.859025120061539,0,0,0,0.40330950677521493,2.285828647563503,No
ABMI Ecosystem Health 2017,1212-SW,1212,SW,0,0,1.4317259876646444,0,0,0,0,3.1685088982571097,0,0,0,0.28695134256715504,0.06693223974285308,Yes
ABMI Ecosystem Health 2018,1213-NE,1213,NE,0,0,1.2576101533211803,0,0,0,0,0,0.1280717680515428,0.015568475677899483,0,0,12.17617239460936,Yes
ABMI Ecosystem Health 2018,1213-NW,1213,NW,0,0,0,0,0,0,0,0,0,0,0,0,4.850070754382134,No
ABMI Ecosystem Health 2018,1213-SE,1213,SE,0,0,0.02585988675212887,0,0,0,0,0,0,0,0,0,1.2103239067038996,No
ABMI Ecosystem Health 2018,1213-SW,1213,SW,0,0,1.2805441002712454,0,0,0,0,0,0,0,0,0,31.43028941868112,Yes
