location,project,VegHF,SoilHF,VegForDetectionDistance
AUB-3,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-4,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
AUB-5,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Conif
AUB-6,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
AUB-7,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Shrub
AUB-8,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Shrub
AUB-9,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,Decid
CAL-100,CMU 2017,Decid6,UNK,Decid
CAL-100,CMU 2018,Decid6,UNK,Decid
CAL-100,CMU Ecosystem Monitoring Camera Program 2019,Decid6,UNK,Decid
CAL-76,CMU 2017,TreedFen5,UNK,WetTreed
CAL-76,CMU 2018,TreedFen5,UNK,WetTreed
CAL-76,CMU Ecosystem Monitoring Camera Program 2019,TreedFen5,UNK,WetTreed
CAL-77,CMU 2017,TreedBog5,UNK,WetTreed
CAL-77,CMU 2018,TreedBog5,UNK,WetTreed
CAL-77,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CAL-78,CMU 2017,ShrubbySwamp,UNK,WetGrass
CAL-78,CMU 2018,ShrubbySwamp,UNK,WetGrass
CAL-78,CMU Ecosystem Monitoring Camera Program 2019,ShrubbySwamp,UNK,WetGrass
CAL-79,CMU 2017,WellSite,WellSite,HF
CAL-79,CMU 2018,WellSite,WellSite,HF
CAL-79,CMU Ecosystem Monitoring Camera Program 2019,WellSite,WellSite,HF
CAL-80,CMU 2017,Decid4,UNK,Decid
CAL-80,CMU 2018,Decid4,UNK,Decid
CAL-80,CMU Ecosystem Monitoring Camera Program 2019,Decid4,UNK,Decid
CAL-81,CMU 2017,Water,Water,WetGrass
CAL-81,CMU 2018,Water,Water,WetGrass
CAL-81,CMU Ecosystem Monitoring Camera Program 2019,Water,Water,WetGrass
CAL-82,CMU 2017,CCSpruceR,CutBlocks,HF
CAL-82,CMU 2018,CCSpruceR,CutBlocks,HF
CAL-82,CMU Ecosystem Monitoring Camera Program 2019,CCSpruceR,CutBlocks,HF
CAL-83,CMU 2017,Pipeline,Pipeline,HF
CAL-83,CMU 2018,Pipeline,Pipeline,HF
CAL-83,CMU Ecosystem Monitoring Camera Program 2019,Pipeline,Pipeline,HF
CAL-84,CMU 2017,Decid2,UNK,Decid
CAL-84,CMU 2018,Decid2,UNK,Decid
CAL-84,CMU Ecosystem Monitoring Camera Program 2019,Decid2,UNK,Decid
CAL-85,CMU 2017,Mixedwood7,UNK,Decid
CAL-85,CMU 2018,Mixedwood7,UNK,Decid
CAL-85,CMU Ecosystem Monitoring Camera Program 2019,Mixedwood7,UNK,Decid
CAL-86,CMU 2017,TreedBog5,UNK,WetTreed
CAL-86,CMU 2018,TreedBog5,UNK,WetTreed
CAL-86,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CAL-87,CMU 2017,CCMixedwood1,CutBlocks,Shrub
CAL-87,CMU 2018,CCMixedwood1,CutBlocks,Shrub
CAL-87,CMU Ecosystem Monitoring Camera Program 2019,CCMixedwood1,CutBlocks,Shrub
CAL-88,CMU 2017,Mixedwood9,UNK,Decid
CAL-88,CMU 2018,Mixedwood9,UNK,Decid
CAL-88,CMU Ecosystem Monitoring Camera Program 2019,Mixedwood9,UNK,Decid
CAL-89,CMU 2017,ShrubbyFen,UNK,WetGrass
CAL-89,CMU 2018,ShrubbyFen,UNK,WetGrass
CAL-89,CMU Ecosystem Monitoring Camera Program 2019,ShrubbyFen,UNK,WetGrass
CAL-90,CMU 2017,TreedBog6,UNK,WetTreed
CAL-90,CMU 2018,TreedBog6,UNK,WetTreed
CAL-90,CMU Ecosystem Monitoring Camera Program 2019,TreedBog6,UNK,WetTreed
CAL-91,CMU 2017,TreedFen6,UNK,WetTreed
CAL-91,CMU 2018,TreedFen6,UNK,WetTreed
CAL-91,CMU Ecosystem Monitoring Camera Program 2019,TreedFen6,UNK,WetTreed
CAL-92,CMU 2017,ShrubbySwamp,UNK,WetGrass
CAL-92,CMU 2018,ShrubbySwamp,UNK,WetGrass
CAL-92,CMU Ecosystem Monitoring Camera Program 2019,ShrubbySwamp,UNK,WetGrass
CAL-93,CMU 2017,Decid4,UNK,Decid
CAL-93,CMU 2018,Decid4,UNK,Decid
CAL-93,CMU Ecosystem Monitoring Camera Program 2019,Decid4,UNK,Decid
CAL-94,CMU 2017,TreedFen4,UNK,WetTreed
CAL-94,CMU 2018,TreedFen4,UNK,WetTreed
CAL-94,CMU Ecosystem Monitoring Camera Program 2019,TreedFen4,UNK,WetTreed
CAL-95,CMU 2017,Decid4,UNK,Decid
CAL-95,CMU 2018,Decid4,UNK,Decid
CAL-95,CMU Ecosystem Monitoring Camera Program 2019,Decid4,UNK,Decid
CAL-96,CMU 2017,SeismicLineWide,SeismicLineWide,HF
CAL-96,CMU 2018,SeismicLineWide,SeismicLineWide,HF
CAL-96,CMU Ecosystem Monitoring Camera Program 2019,SeismicLineWide,SeismicLineWide,HF
CAL-97,CMU 2017,CCMixedwood1,CutBlocks,Shrub
CAL-97,CMU 2018,CCMixedwood1,CutBlocks,Shrub
CAL-97,CMU Ecosystem Monitoring Camera Program 2019,CCMixedwood1,CutBlocks,Shrub
CAL-98,CMU 2017,TreedSwamp6,UNK,WetTreed
CAL-98,CMU 2018,TreedSwamp6,UNK,WetTreed
CAL-98,CMU Ecosystem Monitoring Camera Program 2019,TreedSwamp6,UNK,WetTreed
CAL-99,CMU 2017,TreedBog4,UNK,WetTreed
CAL-99,CMU 2018,TreedBog4,UNK,WetTreed
CAL-99,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-101,CMU 2017,Pine4,UNK,Conif
CHR-101,CMU 2018,Pine4,UNK,Conif
CHR-101,CMU Ecosystem Monitoring Camera Program 2019,Pine4,UNK,Conif
CHR-101T,CMU 2018,NA,NA,HF
CHR-101T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-102,CMU 2017,TreedBog5,UNK,WetTreed
CHR-102,CMU 2018,TreedBog5,UNK,WetTreed
CHR-102,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CHR-102T,CMU 2018,NA,NA,HF
CHR-102T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-103,CMU 2017,Mixedwood4,UNK,Decid
CHR-103,CMU 2018,Mixedwood4,UNK,Decid
CHR-103,CMU Ecosystem Monitoring Camera Program 2019,Mixedwood4,UNK,Decid
CHR-103T,CMU 2018,NA,NA,HF
CHR-103T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-104,CMU 2017,TreedBog4,UNK,WetTreed
CHR-104,CMU 2018,TreedBog4,UNK,WetTreed
CHR-104,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-104T,CMU 2018,NA,NA,HF
CHR-104T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-105,CMU 2017,RoadTrailVegetated,RoadTrailVegetated,HF
CHR-105,CMU 2018,RoadTrailVegetated,RoadTrailVegetated,HF
CHR-105,CMU Ecosystem Monitoring Camera Program 2019,RoadTrailVegetated,RoadTrailVegetated,HF
CHR-105T,CMU 2018,NA,NA,HF
CHR-105T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-106,CMU 2017,TreedFen4,UNK,WetTreed
CHR-106,CMU 2018,TreedFen4,UNK,WetTreed
CHR-106,CMU Ecosystem Monitoring Camera Program 2019,TreedFen4,UNK,WetTreed
CHR-106T,CMU 2018,NA,NA,HF
CHR-106T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-107,CMU 2017,GraminoidFen,UNK,WetGrass
CHR-107,CMU 2018,GraminoidFen,UNK,WetGrass
CHR-107,CMU Ecosystem Monitoring Camera Program 2019,GraminoidFen,UNK,WetGrass
CHR-107T,CMU 2018,NA,NA,HF
CHR-107T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-108,CMU 2017,TreedBog4,UNK,WetTreed
CHR-108,CMU 2018,TreedBog4,UNK,WetTreed
CHR-108,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-108T,CMU 2018,NA,NA,HF
CHR-108T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-109,CMU 2017,TreedBog4,UNK,WetTreed
CHR-109,CMU 2018,TreedBog4,UNK,WetTreed
CHR-109,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-109T,CMU 2018,NA,NA,HF
CHR-109T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-110,CMU 2017,TreedBog4,UNK,WetTreed
CHR-110,CMU 2018,TreedBog4,UNK,WetTreed
CHR-110,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-110T,CMU 2018,NA,NA,HF
CHR-110T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-111,CMU 2017,TreedBog5,UNK,WetTreed
CHR-111,CMU 2018,TreedBog5,UNK,WetTreed
CHR-111,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CHR-111T,CMU 2018,NA,NA,HF
CHR-111T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-112,CMU 2017,Decid4,UNK,Decid
CHR-112,CMU 2018,Decid4,UNK,Decid
CHR-112,CMU Ecosystem Monitoring Camera Program 2019,Decid4,UNK,Decid
CHR-112T,CMU 2018,NA,NA,HF
CHR-112T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-113,CMU 2017,CCDecid1,CutBlocks,Shrub
CHR-113,CMU 2018,CCDecid1,CutBlocks,Shrub
CHR-113,CMU Ecosystem Monitoring Camera Program 2019,CCDecid1,CutBlocks,Shrub
CHR-113T,CMU 2018,NA,NA,HF
CHR-113T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-114,CMU 2017,Pine6,UNK,Conif
CHR-114,CMU 2018,Pine6,UNK,Conif
CHR-114,CMU Ecosystem Monitoring Camera Program 2019,Pine6,UNK,Conif
CHR-114T,CMU 2018,NA,NA,HF
CHR-114T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-115,CMU 2017,Decid5,UNK,Decid
CHR-115,CMU 2018,Decid5,UNK,Decid
CHR-115,CMU Ecosystem Monitoring Camera Program 2019,Decid5,UNK,Decid
CHR-115T,CMU 2018,NA,NA,HF
CHR-115T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-116,CMU 2017,Pine4,UNK,Conif
CHR-116,CMU 2018,Pine4,UNK,Conif
CHR-116,CMU Ecosystem Monitoring Camera Program 2019,Pine4,UNK,Conif
CHR-116T,CMU 2018,NA,NA,HF
CHR-116T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-117,CMU 2017,CCPine1,CutBlocks,Shrub
CHR-117,CMU 2018,CCPine1,CutBlocks,Shrub
CHR-117,CMU Ecosystem Monitoring Camera Program 2019,CCPine1,CutBlocks,Shrub
CHR-117T,CMU 2018,NA,NA,HF
CHR-117T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-118,CMU 2017,TreedBog5,UNK,WetTreed
CHR-118,CMU 2018,TreedBog5,UNK,WetTreed
CHR-118,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CHR-118T,CMU 2018,NA,NA,HF
CHR-118T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-119,CMU 2017,TreedBog5,UNK,WetTreed
CHR-119,CMU 2018,TreedBog5,UNK,WetTreed
CHR-119,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
CHR-119T,CMU 2018,NA,NA,HF
CHR-119T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-120,CMU 2017,TreedBog1,UNK,WetTreed
CHR-120,CMU 2018,TreedBog1,UNK,WetTreed
CHR-120,CMU Ecosystem Monitoring Camera Program 2019,TreedBog1,UNK,WetTreed
CHR-120T,CMU 2018,NA,NA,HF
CHR-120T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-121,CMU 2017,TreedBog4,UNK,WetTreed
CHR-121,CMU 2018,TreedBog4,UNK,WetTreed
CHR-121,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
CHR-121T,CMU 2018,NA,NA,HF
CHR-121T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-122,CMU 2017,TreedBog6,UNK,WetTreed
CHR-122,CMU 2018,TreedBog6,UNK,WetTreed
CHR-122,CMU Ecosystem Monitoring Camera Program 2019,TreedBog6,UNK,WetTreed
CHR-122T,CMU 2018,NA,NA,HF
CHR-122T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-123,CMU 2017,ShrubbyFen,UNK,WetGrass
CHR-123,CMU 2018,ShrubbyFen,UNK,WetGrass
CHR-123,CMU Ecosystem Monitoring Camera Program 2019,ShrubbyFen,UNK,WetGrass
CHR-123T,CMU 2018,NA,NA,HF
CHR-123T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-124,CMU 2017,TreedFen6,UNK,WetTreed
CHR-124,CMU 2018,TreedFen6,UNK,WetTreed
CHR-124,CMU Ecosystem Monitoring Camera Program 2019,TreedFen6,UNK,WetTreed
CHR-124T,CMU 2018,NA,NA,HF
CHR-124T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-125,CMU 2017,Decid5,UNK,Decid
CHR-125,CMU 2018,Decid5,UNK,Decid
CHR-125,CMU Ecosystem Monitoring Camera Program 2019,Decid5,UNK,Decid
CHR-125T,CMU 2018,NA,NA,HF
CHR-125T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
CHR-126,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,WetTreed
CHR-126T,CMU Ecosystem Monitoring Camera Program 2019,NA,NA,HF
DEW-1,CMU 2018,NA,NA,Conif
DEW-10,CMU 2018,NA,NA,Conif
DEW-12,CMU 2018,NA,NA,Conif
DEW-13,CMU 2018,NA,NA,Conif
DEW-14,CMU 2018,NA,NA,Grass
DEW-15,CMU 2018,NA,NA,Conif
DEW-16,CMU 2018,NA,NA,Conif
DEW-17,CMU 2018,NA,NA,WetGrass
DEW-18,CMU 2018,NA,NA,Conif
DEW-19,CMU 2018,NA,NA,Shrub
DEW-2,CMU 2018,NA,NA,Decid
DEW-20,CMU 2018,NA,NA,Conif
DEW-22,CMU 2018,NA,NA,Decid
DEW-23,CMU 2018,NA,NA,Decid
DEW-24,CMU 2018,NA,NA,Conif
DEW-25,CMU 2018,NA,NA,Conif
DEW-3,CMU 2018,NA,NA,Conif
DEW-4,CMU 2018,NA,NA,Conif
DEW-5,CMU 2018,NA,NA,Conif
DEW-6,CMU 2018,NA,NA,Conif
DEW-7,CMU 2018,NA,NA,Conif
DEW-9,CMU 2018,NA,NA,Shrub
FMM-1,CMU 2017,TreedFen5,UNK,WetTreed
FMM-1,CMU 2018,TreedFen5,UNK,WetTreed
FMM-1,CMU Ecosystem Monitoring Camera Program 2019,TreedFen5,UNK,WetTreed
FMM-10,CMU 2017,TreedFen8,UNK,WetTreed
FMM-10,CMU 2018,TreedFen8,UNK,WetTreed
FMM-10,CMU Ecosystem Monitoring Camera Program 2019,TreedFen8,UNK,WetTreed
FMM-11,CMU 2017,TreedBog5,UNK,WetTreed
FMM-11,CMU 2018,TreedBog5,UNK,WetTreed
FMM-11,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
FMM-12,CMU 2017,TreedBog4,UNK,WetTreed
FMM-12,CMU 2018,TreedBog4,UNK,WetTreed
FMM-12,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
FMM-13,CMU 2017,Pipeline,Pipeline,HF
FMM-13,CMU 2018,Pipeline,Pipeline,HF
FMM-13,CMU Ecosystem Monitoring Camera Program 2019,Pipeline,Pipeline,HF
FMM-14,CMU 2017,Spruce5,UNK,Conif
FMM-14,CMU 2018,Spruce5,UNK,Conif
FMM-14,CMU Ecosystem Monitoring Camera Program 2019,Spruce5,UNK,Conif
FMM-15,CMU 2017,TreedBog4,UNK,WetTreed
FMM-15,CMU 2018,TreedBog4,UNK,WetTreed
FMM-15,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
FMM-16,CMU 2017,TreedFen6,UNK,WetTreed
FMM-16,CMU 2018,TreedFen6,UNK,WetTreed
FMM-16,CMU Ecosystem Monitoring Camera Program 2019,TreedFen6,UNK,WetTreed
FMM-17,CMU 2017,TreedBog4,UNK,WetTreed
FMM-17,CMU 2018,TreedBog4,UNK,WetTreed
FMM-17,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
FMM-18,CMU 2017,TreedBog4,UNK,WetTreed
FMM-18,CMU 2018,TreedBog4,UNK,WetTreed
FMM-18,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
FMM-19,CMU 2017,ShrubbyFen,UNK,WetGrass
FMM-19,CMU 2018,ShrubbyFen,UNK,WetGrass
FMM-19,CMU Ecosystem Monitoring Camera Program 2019,ShrubbyFen,UNK,WetGrass
FMM-2,CMU 2017,TreedBog5,UNK,WetTreed
FMM-2,CMU 2018,TreedBog5,UNK,WetTreed
FMM-2,CMU Ecosystem Monitoring Camera Program 2019,TreedBog5,UNK,WetTreed
FMM-20,CMU 2017,TreedFen3,UNK,WetTreed
FMM-20,CMU 2018,TreedFen3,UNK,WetTreed
FMM-20,CMU Ecosystem Monitoring Camera Program 2019,TreedFen3,UNK,WetTreed
FMM-21,CMU 2017,TreedFen8,UNK,WetTreed
FMM-21,CMU 2018,TreedFen8,UNK,WetTreed
FMM-21,CMU Ecosystem Monitoring Camera Program 2019,TreedFen8,UNK,WetTreed
FMM-22,CMU 2017,TreedFen4,UNK,WetTreed
FMM-22,CMU 2018,TreedFen4,UNK,WetTreed
FMM-22,CMU Ecosystem Monitoring Camera Program 2019,TreedFen4,UNK,WetTreed
FMM-23,CMU 2017,TreedBog6,UNK,WetTreed
FMM-23,CMU 2018,TreedBog6,UNK,WetTreed
FMM-23,CMU Ecosystem Monitoring Camera Program 2019,TreedBog6,UNK,WetTreed
FMM-24,CMU 2017,TreedFenR,UNK,WetTreed
FMM-24,CMU 2018,TreedFenR,UNK,WetTreed
FMM-24,CMU Ecosystem Monitoring Camera Program 2019,TreedFenR,UNK,WetTreed
FMM-25,CMU 2017,TreedBog4,UNK,WetTreed
FMM-25,CMU 2018,TreedBog4,UNK,WetTreed
FMM-25,CMU Ecosystem Monitoring Camera Program 2019,TreedBog4,UNK,WetTreed
FMM-3,CMU 2017,TreedFen5,UNK,WetTreed
FMM-3,CMU 2018,TreedFen5,UNK,WetTreed
FMM-3,CMU Ecosystem Monitoring Camera Program 2019,TreedFen5,UNK,WetTreed
FMM-4,CMU 2017,SeismicLineNarrow,SeismicLineNarrow,HF
FMM-4,CMU 2018,SeismicLineNarrow,SeismicLineNarrow,HF
